OrderID,OrderDate,ProductID,RegionID,CustomerID,Quantity,UnitPrice,Discount,SalesAmount,COGS,Profit
SO01493,2023-01-01,P014,R01,C0042,2,499.00,0.00,998.00,360.00,638.00
SO01658,2023-01-01,P018,R01,C0050,2,89.00,0.00,178.00,56.00,122.00
SO03968,2023-01-01,P007,R05,C0147,2,129.00,0.00,258.00,84.00,174.00
SO00134,2023-01-02,P003,R05,C0152,3,1199.00,0.15,3057.45,1920.00,1137.45
SO00858,2023-01-02,P002,R01,C0080,3,399.00,0.00,1197.00,540.00,657.00
SO02027,2023-01-02,P006,R05,C0026,3,179.00,0.20,429.60,165.00,264.60
SO02243,2023-01-02,P016,R08,C0177,1,95.00,0.10,85.50,30.00,55.50
SO03457,2023-01-02,P018,R04,C0173,1,89.00,0.05,84.55,28.00,56.55
SO00081,2023-01-03,P005,R02,C0137,2,89.00,0.00,178.00,56.00,122.00
SO00457,2023-01-03,P013,R02,C0061,1,329.00,0.20,263.20,110.00,153.20
SO00712,2023-01-03,P003,R04,C0141,1,1199.00,0.00,1199.00,640.00,559.00
SO00901,2023-01-03,P003,R01,C0132,3,1199.00,0.10,3237.30,1920.00,1317.30
SO01271,2023-01-03,P019,R08,C0053,1,79.00,0.10,71.10,24.00,47.10
SO01826,2023-01-03,P002,R07,C0013,4,399.00,0.00,1596.00,720.00,876.00
SO03730,2023-01-03,P010,R06,C0132,1,69.00,0.00,69.00,22.00,47.00
SO01096,2023-01-04,P019,R05,C0051,1,79.00,0.20,63.20,24.00,39.20
SO00850,2023-01-05,P017,R04,C0092,3,199.00,0.00,597.00,195.00,402.00
SO02066,2023-01-05,P005,R02,C0157,3,89.00,0.10,240.30,84.00,156.30
SO00787,2023-01-06,P014,R02,C0021,1,499.00,0.00,499.00,180.00,319.00
SO03246,2023-01-06,P018,R04,C0175,1,89.00,0.05,84.55,28.00,56.55
SO00060,2023-01-07,P013,R03,C0023,2,329.00,0.05,625.10,220.00,405.10
